Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Joes Garden,Ramapuram,"['North Indian', ' Biryani', ' South Indian', ' Seafood', ' Fast Food']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Delivery Only']
Creeps Restaurant,Vandalur,"['Sandwich', ' Fast Food', ' Street Food']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,3.3,84,"['Home Delivery', 'Indoor Seating']"
Indore Zayka Snacks,Thuraipakkam,"['Street Food', ' Fast Food']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Sweet Corner,Anna Salai,"['Mithai', ' Ice Cream', ' Fast Food']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Desserts and Bakes']"
Sri L.J Bakery,Saidapet,['Bakery'],Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Takeaway Only', 'Desserts and Bakes']"
Mee(A)Ting Point Juice Cafe,Adambakkam,"['Beverages', ' Fast Food']",Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Hotel Sparks Multicuisine Restaurant,Ambattur,"['South Indian', ' Biryani', ' Chinese', ' BBQ', ' North Indian']",Favourite Dishe,400.0,Not provide Dining,Not provide Dining,3.4,77,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
Arab Street Xpress,T. Nagar,"['Lebanese', ' Fast Food', ' Beverages']",Favourite Dishe,350.0,Not provide Dining,Not provide Dining,3.6,90,['Home Delivery']
Fast & Fresh,Velachery,['Chinese'],Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
IndCafe,Taramani,"['Cafe', ' South Indian', ' North Indian']",Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Indoor Seating']"
Chennai Creams,Nungambakkam,['Fast Food'],Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Outdoor Seating', 'Indoor Seating']"
Kayal Mess,George Town,['South Indian'],Favourite Dishe,250.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Shawarma Story,Medavakkam,['Lebanese'],Favourite Dishe,300.0,Not provide Dining,Not provide Dining,3.7,43,['Delivery Only']
The Juice Shop,Chromepet,"['Beverages', ' Juices', ' Desserts', ' Fast Food', ' Wraps', ' Sandwich']",Favourite Dishe,200.0,Not provide Dining,Not provide Dining,3.9,36,"['Home Delivery', 'Indoor Seating']"
Sandwich Hive,Ramapuram,"['Sandwich', ' Fast Food']",Favourite Dishe,150.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Outdoor Seating']"
Maruthi Andhra Mess,Kodambakkam,['Andhra'],Favourite Dishe,200.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
Sri Jayam Bhojanam,Velachery,"['Mithai', ' South Indian']",Favourite Dishe,400.0,Not provide Dining,Not provide Dining,Not provide Dining,0,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Pre-Ordering Required']"
Manna Eats,Porur,"['Fast Food', ' Beverages']",Favourite Dishe,400.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
The Madras Times,Egatoor,['South Indian'],Favourite Dishe,300.0,Not provide Dining,Not provide Dining,Not provide Dining,0,['Indoor Seating']
